id	title	pids
31940	扬州看辛夷花	27570
31941	将离岳州留献徐员外	20451
31942	西江月（同前）	61686
31943	春水	2929,35473
31944	赠特进汝阳王二十韵	2723
31945	减字木兰花（四之三）	46499
31946	司马错论伐蜀	70239
31947	送郑山人游江湖	25250
31948	钿带长中腔	61929
31949	留卢秦卿（一作司空曙诗）	4660
31950	醉落魄（荔枝）	51478
31951	鉴湖西岛言事	43246
31952	闻李太尉大举秦兵百万出征东南懦夫请缨…崔侍御十九韵	71711
31953	赠姬人	33217,33294
31954	蓝田溪杂咏二十二首。题南陂	4145
31955	咏史诗。洞庭	29480
31956	桂州岁暮	6075,6196
31957	游城南十六首。赠张十八助教	10484
31958	园官送菜	2604
31959	盖少府新除江南尉问风俗	4680
31960	得钱舍人书问眼疾	14925
31961	新安官舍闲坐	29059
31962	送归中丞使新罗册立吊祭	8044
31963	江上柳送人	6021,6143
31964	喜迁莺（寿李文昌）	66714
31965	秋日富春江行	30254
31966	雪夜渔舟	47939
31967	晚行口号	2793
31968	解连环（春水）	56773
31969	赠从弟谷	23326
31970	有所思（一作长相思）	33363,35721
31971	送赵都护赴安西	21847,50337
31972	沁园春（维扬作）	57931
31973	祭神州乐章。雍和	15273
31974	殿前生桂树	35675
31975	早归	13615,31918
31976	长安旅怀	30680
31977	木兰花慢（上壑翁寿）	58369
31978	送刘方平	57307
31979	渚宫乱后作	31258
31980	绝句漫兴九首·其五	69170
31981	杜鹃行（一作司空曙诗）	3623
31982	晚归蓝田旧居	3997
31983	秦女卷衣（一作妾薄命）	49600
31984	江月晃重山·初到嵩山时作	70100
31985	道州感兴	12042
31986	昭君怨·牡丹	58009
31987	绝句·书当快意读易尽	70150
31988	和微之叹槿花	16374
31989	往年进士赵能卿尝话金庭胜事，见示叙	30066
31990	晴江秋望	8053
31991	虎丘寺赠渔处士	23484
31992	宿辉公精舍	25880
31993	月	2791,3328,8085,21403,22370,22946,26822,26860,26897,26945,29075,29822,34052,34132,34322,37989,40963,70746
31994	代吴兴妓春初寄薛军事	21232
31995	咏司马彪续汉志	28118
31996	浅井	29844
31997	弄玉词二首	18516
31998	息夫人庙	30467
31999	和张尹忆东篱菊	7603
32000	丽人曲	49567
32001	逢入京使	73504
32002	水龙吟（癸丑江西持宪自寿）	59210
32003	别江上一二友生	36634
32004	临江仙（乙未，高宗庆七十，母氏封宜人作）	53354
32005	读张碧集	12406,12459
32006	华胥引（黄钟秋思）	46912,47103
32007	春日书情寄元校书伯和相国元子	5885
32008	论诗三十首·其六	70589
32009	主人司空见和未开牡丹，辄却奉和	42544
32010	和项斯游头陀寺上方	20583
32011	送王校书往清源	33958
32012	早夏游宴	16455
32013	天池晚棹	9055
32014	寒食山馆书情	29044
32015	赠岑郎中	5961,6082
32016	沁园春（将止酒、戒酒杯使勿近）	54349
32017	水调歌头·平山堂用东坡韵	58997
32018	燕归梁（高平晓）	47003,47180
32019	减字木兰花（二十六日立春）	53116
